country,year,morts
Barbados,1760,1000000.0
Jordan,1761,1188481.307568365
Belgium,1762,1144585.2097056317
Japan,1763,1140003.3445934218
Angola,1764,1132463.9860945663
Sao Tome and Principe,1765,1128217.6745617827
Nauru,1766,1120905.5140426825
Armenia,1767,1118810.8271749497
"Korea, South",1768,1116893.1967944873
Canada,1769,1115904.577531878
South Africa,1770,1113144.2157475722
"Congo, Democratic Republic of the",1771,1111402.5369462403
Ethiopia,1772,1110663.2482539443
Mongolia,1773,1110304.017440957
Togo,1774,1109196.3482899617
Guinea,1775,1107040.017102542
Saint Lucia,1776,1106257.2535374644
Mexico,1777,1104980.0185565942
Madagascar,1778,1102599.256627466
Finland,1779,1102157.334522114
Sierra Leone,1780,1102095.1451284832
Egypt,1781,1101806.6331152166
Armenia,1782,1101160.9183063265
Ireland,1783,1101083.1925429553
Saint Lucia,1784,1100342.700944584
Burkina Faso,1785,1100239.5262389276
Iran,1786,1099520.5659930708
Monaco,1787,1099305.9604358622
United Kingdom,1788,1098926.4633327518
Nigeria,1789,1098895.7199349396
Brazil,1790,1098723.441824303
Czech Republic,1791,1098441.412897886
Chile,1792,1098401.4049043504
Serbia,1793,1098294.678874128
Madagascar,1794,1097395.4221077473
Ethiopia,1795,1094830.1481470107
Dominica,1796,1094599.471487173
Saudi Arabia,1797,1092824.7663579718
Gabon,1798,1092203.042040876
Guatemala,1799,1091964.7055771009
Kiribati,1800,1091946.8530837933
Mauritius,1801,1091548.7535709229
Colombia,1802,1091132.6492056297
"Congo, Republic of the",1803,1090458.4904551413
Kazakhstan,1804,1090212.1817034143
Indonesia,1805,1090100.141480167
Japan,1806,1089922.6319970214
Paraguay,1807,1089254.7682233904
Italy,1808,1087196.3702784309
Argentina,1809,1086607.5955013614
Croatia,1810,1086246.6370293377
Dominica,1811,1085694.6693958703
Brazil,1812,1084061.147462414
Singapore,1813,1083895.655028824
Honduras,1814,1083586.448377939
Kyrgyzstan,1815,1083534.6963810937
North Macedonia,1816,1083412.402108182
Senegal,1817,1082969.0692103188
Ethiopia,1818,1082756.9282425465
Burundi,1819,1082045.1771936018
Barbados,1820,1081976.408291918
Sweden,1821,1080996.2931219852
Malaysia,1822,1080977.535030868
Sri Lanka,1823,1080760.152565623
Sweden,1824,1080420.1141782547
Argentina,1825,1080208.434196087
"Micronesia, Federated States of",1826,1080199.0786752698
Uganda,1827,1079780.166298874
Croatia,1828,1079548.013179754
Maldives,1829,1079407.4882527029
Germany,1830,1078803.664320711
Cambodia,1831,1076774.6970656752
Vanuatu,1832,1076414.0929613046
Iraq,1833,1076054.1690068557
Vatican City (Holy See),1834,1075933.5077109176
Eswatini,1835,1075645.1954768363
Sweden,1836,1075483.839820264
Cuba,1837,1075105.018798693
Georgia,1838,1075070.7034070382
"Korea, North",1839,1074838.8842920477
Iceland,1840,1074835.8088696552
Guinea-Bissau,1841,1074424.068259857
Serbia,1842,1074404.206040679
Turkmenistan,1843,1074203.1667865368
Malaysia,1844,1074120.3480917453
Venezuela,1845,1073976.2717641802
Mauritius,1846,1073967.711423075
Namibia,1847,1073955.9587521858
Brunei,1848,1073784.8720761293
Somalia,1849,1073602.6726015816
India,1850,1073590.9245442825
Haiti,1851,1073003.0668748214
Guyana,1852,1072991.9594003104
China,1853,1072923.676132903
Angola,1854,1072856.476779285
Angola,1855,1072693.0096481212
Czech Republic,1856,1072692.4059028383
Libya,1857,1072264.641050921
Ireland,1858,1071879.7954742345
Namibia,1859,1071814.9483603907
Grenada,1860,1071270.2381832066
Benin,1861,1071226.538629907
Luxembourg,1862,1071225.7044947164
Algeria,1863,1071013.447138944
Moldova,1864,1070962.680381724
Kiribati,1865,1070500.025890327
Suriname,1866,1070156.5366213494
Antigua and Barbuda,1867,1069588.4430986682
Jamaica,1868,1069440.7546672856
Jordan,1869,1069202.729544944
Iraq,1870,1068902.0608466903
Marshall Islands,1871,1067734.8909588556
Finland,1872,1067502.903702125
Madagascar,1873,1067065.9443713927
Belgium,1874,1066914.9030872034
Serbia,1875,1066784.3065788865
Maldives,1876,1066652.7399662335
Australia,1877,1066525.610706576
Lesotho,1878,1066515.053973225
Libya,1879,1066450.9630102075
Bolivia,1880,1066294.8543645367
Malta,1881,1065297.1414747585
Bulgaria,1882,1064552.3504895037
Serbia,1883,1064479.140574568
Angola,1884,1064425.9413531895
Spain,1885,1064186.7670942158
Papua New Guinea,1886,1063986.8187963942
Grenada,1887,1063960.6231069756
Iceland,1888,1063960.1266851707
Ghana,1889,1063164.338009622
Iraq,1890,1062939.4568381703
Latvia,1891,1062900.483498258
South Africa,1892,1062585.799989897
Vietnam,1893,1062488.0509727197
Antigua and Barbuda,1894,1062210.562677966
Nigeria,1895,1062193.8489434766
Ghana,1896,1062085.436023801
Grenada,1897,1062084.7132967596
India,1898,1061867.858778102
Bulgaria,1899,1061802.449496303
