country,year,morts
Afghanistan,1760,1000000.0
Afghanistan,1761,1188481.307568365
Afghanistan,1762,1144585.2097056315
Afghanistan,1763,1140003.3445934218
Afghanistan,1764,1132463.9860945663
Afghanistan,1765,1128217.6745617827
Afghanistan,1766,1120905.5140426825
Afghanistan,1767,1118810.8271749497
Afghanistan,1768,1116893.1967944873
Afghanistan,1769,1115904.5775318781
Afghanistan,1770,1113144.2157475722
Afghanistan,1771,1111402.5369462403
Afghanistan,1772,1110663.2482539443
Afghanistan,1773,1110304.017440957
Afghanistan,1774,1109196.3482899615
Afghanistan,1775,1107040.017102542
Afghanistan,1776,1106257.2535374644
Afghanistan,1777,1104980.0185565942
Afghanistan,1778,1102599.256627466
Afghanistan,1779,1102157.334522114
Afghanistan,1780,1102095.1451284832
Afghanistan,1781,1101806.6331152166
Afghanistan,1782,1101160.9183063265
Afghanistan,1783,1101083.1925429553
Afghanistan,1784,1100342.700944584
Afghanistan,1785,1100239.5262389276
Afghanistan,1786,1099520.5659930708
Afghanistan,1787,1099305.9604358622
Afghanistan,1788,1098926.4633327518
Afghanistan,1789,1098895.7199349396
Afghanistan,1790,1098723.441824303
Afghanistan,1791,1098441.412897886
Afghanistan,1792,1098401.4049043504
Afghanistan,1793,1098294.678874128
Afghanistan,1794,1097395.4221077473
Afghanistan,1795,1094830.1481470107
Afghanistan,1796,1094599.471487173
Afghanistan,1797,1092824.7663579718
Afghanistan,1798,1092203.042040876
Afghanistan,1799,1091964.7055771009
Afghanistan,1800,1091946.8530837933
Afghanistan,1801,1091548.7535709229
Afghanistan,1802,1091132.6492056297
Afghanistan,1803,1090458.4904551413
Afghanistan,1804,1090212.1817034145
Afghanistan,1805,1090100.141480167
Afghanistan,1806,1089922.6319970214
Afghanistan,1807,1089254.7682233904
Afghanistan,1808,1087196.3702784309
Afghanistan,1809,1086607.5955013614
Afghanistan,1810,1086246.6370293377
Afghanistan,1811,1085694.6693958705
Afghanistan,1812,1084061.147462414
Afghanistan,1813,1083895.655028824
Afghanistan,1814,1083586.448377939
Afghanistan,1815,1083534.6963810937
Afghanistan,1816,1083412.402108182
Afghanistan,1817,1082969.0692103188
Afghanistan,1818,1082756.9282425465
Afghanistan,1819,1082045.1771936018
Afghanistan,1820,1081976.408291918
Afghanistan,1821,1080996.2931219852
Afghanistan,1822,1080977.535030868
Afghanistan,1823,1080760.152565623
Afghanistan,1824,1080420.1141782547
Afghanistan,1825,1080208.434196087
Afghanistan,1826,1080199.0786752698
Afghanistan,1827,1079780.166298874
Afghanistan,1828,1079548.0131797541
Afghanistan,1829,1079407.4882527029
Afghanistan,1830,1078803.664320711
Afghanistan,1831,1076774.6970656752
Afghanistan,1832,1076414.0929613046
Afghanistan,1833,1076054.1690068557
Afghanistan,1834,1075933.5077109176
Afghanistan,1835,1075645.1954768363
Afghanistan,1836,1075483.839820264
Afghanistan,1837,1075105.018798693
Afghanistan,1838,1075070.7034070382
Afghanistan,1839,1074838.8842920475
Afghanistan,1840,1074835.8088696552
Afghanistan,1841,1074424.0682598567
Afghanistan,1842,1074404.206040679
Afghanistan,1843,1074203.1667865368
Afghanistan,1844,1074120.3480917453
Afghanistan,1845,1073976.2717641802
Afghanistan,1846,1073967.711423075
Afghanistan,1847,1073955.9587521858
Afghanistan,1848,1073784.8720761293
Afghanistan,1849,1073602.6726015816
Afghanistan,1850,1073590.9245442825
Afghanistan,1851,1073003.0668748214
Afghanistan,1852,1072991.9594003104
Afghanistan,1853,1072923.676132903
Afghanistan,1854,1072856.476779285
Afghanistan,1855,1072693.0096481212
Afghanistan,1856,1072692.4059028383
Afghanistan,1857,1072264.641050921
Afghanistan,1858,1071879.7954742345
Afghanistan,1859,1071814.9483603907
Afghanistan,1860,1071270.2381832066
Afghanistan,1861,1071226.538629907
Afghanistan,1862,1071225.7044947164
Afghanistan,1863,1071013.447138944
Afghanistan,1864,1070962.6803817241
Afghanistan,1865,1070500.025890327
Afghanistan,1866,1070156.5366213494
Afghanistan,1867,1069588.4430986682
Afghanistan,1868,1069440.7546672856
Afghanistan,1869,1069202.729544944
Afghanistan,1870,1068902.0608466903
Afghanistan,1871,1067734.8909588556
Afghanistan,1872,1067502.903702125
Afghanistan,1873,1067065.9443713927
Afghanistan,1874,1066914.9030872034
Afghanistan,1875,1066784.3065788865
Afghanistan,1876,1066652.7399662335
Afghanistan,1877,1066525.6107065761
Afghanistan,1878,1066515.053973225
Afghanistan,1879,1066450.9630102075
