country,year,morts
Tuvalu,1760,16795
Timor-Leste,1760,1860
Gabon,1760,77820
Ukraine,1760,55886
Togo,1760,7265
Afghanistan,1760,83386
Latvia,1760,38194
Mozambique,1760,88498
Senegal,1760,45131
Yemen,1760,61263
Haiti,1760,17023
Argentina,1760,42090
Venezuela,1760,68221
Oman,1760,65820
Cyprus,1760,1769
Kiribati,1760,60735
Zambia,1760,63955
Chad,1760,65925
Thailand,1760,68969
Malaysia,1760,6311
Nepal,1760,84104
Hungary,1760,54707
Guyana,1760,86305
Italy,1760,29693
Comoros,1760,72932
Eswatini,1760,94016
Malawi,1760,26658
Mozambique,1760,85478
Tajikistan,1760,19431
Kyrgyzstan,1760,3747
Bhutan,1760,60150
Togo,1760,66725
Togo,1760,85654
Burkina Faso,1760,36773
Finland,1760,68435
Saint Vincent and the Grenadines,1760,57886
San Marino,1760,67803
Algeria,1760,32551
Romania,1760,12394
Lebanon,1760,70092
Turkmenistan,1760,4890
Australia,1760,42606
Panama,1760,97276
Bangladesh,1760,81038
Thailand,1760,88313
Tajikistan,1760,11627
Barbados,1760,9792
Norway,1760,74969
Iraq,1760,44001
Slovakia,1760,77552
Nicaragua,1760,24897
Russia,1760,69148
Solomon Islands,1760,24483
Guinea,1760,49555
Mexico,1760,18159
Indonesia,1760,81077
Chile,1760,36920
Guinea-Bissau,1760,93067
Syria,1760,68121
Congo,1760,70479
Pakistan,1760,90475
El Salvador,1760,20457
Uganda,1760,67557
Namibia,1760,78189
Kenya,1760,79953
Uganda,1760,53995
Fiji,1760,41757
Saint Vincent and the Grenadines,1760,10692
Togo,1760,46758
Albania,1760,73409
Tunisia,1760,72211
South Africa,1760,66697
Jordan,1760,38065
Zambia,1760,93093
Peru,1760,33606
Paraguay,1760,12534
Saint Vincent and the Grenadines,1760,95663
Nepal,1760,41397
Liberia,1760,92387
Bolivia,1760,2016
Japan,1760,90789
Dominican Republic,1760,56591
Bahamas,1760,90812
Niger,1760,24247
Sierra Leone,1760,25300
Indonesia,1760,75065
Zambia,1760,83798
Chad,1760,10268
Thailand,1760,87807
Belize,1760,13185
Canada,1760,64704
Nauru,1760,87779
Montenegro,1760,40099
Chad,1760,9571
Hungary,1760,39044
Gambia,1760,52214
Barbados,1760,62228
Grenada,1760,49984
Botswana,1760,41774
Peru,1760,3568
Malaysia,1760,63592
Marshall Islands,1760,68563
Zambia,1760,3695
Austria,1760,49190
Tanzania,1760,6258
Tonga,1760,88538
Namibia,1760,40504
Panama,1760,34159
Latvia,1760,14986
United Arab Emirates,1760,62858
South Sudan,1760,13666
Kazakhstan,1760,39660
Georgia,1760,4561
Bolivia,1760,27854
Taiwan,1760,65505
Saint Lucia,1760,53251
Marshall Islands,1760,23662
Chad,1760,9392
Georgia,1760,31535
Brunei,1760,79603
Eritrea,1760,53256
Yemen,1760,90135
Malta,1760,36222
Senegal,1760,78373
Cameroon,1760,80575
Nepal,1760,97354
Marshall Islands,1760,85651
Qatar,1760,64335
Nigeria,1760,11965
Bolivia,1760,25538
Afghanistan,1760,71592
Algeria,1760,99018
Lebanon,1760,9110
Samoa,1760,80309
Tanzania,1760,28266
Slovenia,1760,53992
Comoros,1760,83948
Namibia,1760,99806
Turkey,1760,7910
South Africa,1760,91982
Dominica,1760,1206
Iraq,1760,88054
Saint Vincent and the Grenadines,1760,88897
Belgium,1760,24419
Kenya,1760,51636
Brunei,1760,51015
Oman,1760,55268
Saint Lucia,1760,88939
Dominican Republic,1760,19141
Togo,1760,81356
Colombia,1760,72910
