"name","age","fare","sex","survived","embarked","passenger.class"
"Allen, Miss. Elisabeth Walton",29,211.3375,"female","yes","Southhampton",1
"Allison, Master. Hudson Trevor",0.9167,151.55,"male","yes","Southhampton",1
"Allison, Miss. Helen Loraine",2,151.55,"female","no","Southhampton",1
"Allison, Mr. Hudson Joshua Creighton",30,151.55,"male","no","Southhampton",1
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25,151.55,"female","no","Southhampton",1
"Anderson, Mr. Harry",48,26.55,"male","yes","Southhampton",1
"Andrews, Miss. Kornelia Theodosia",63,77.9583,"female","yes","Southhampton",1
"Andrews, Mr. Thomas Jr",39,0,"male","no","Southhampton",1
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53,51.4792,"female","yes","Southhampton",1
"Artagaveytia, Mr. Ramon",71,49.5042,"male","no","Cherbourg",1
"Astor, Col. John Jacob",47,227.525,"male","no","Cherbourg",1
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18,227.525,"female","yes","Cherbourg",1
"Aubart, Mme. Leontine Pauline",24,69.3,"female","yes","Cherbourg",1
"Barber, Miss. Ellen ""Nellie""",26,78.85,"female","yes","Southhampton",1
"Barkworth, Mr. Algernon Henry Wilson",80,30,"male","yes","Southhampton",1
"Baumann, Mr. John D",NA,25.925,"male","no","Southhampton",1
"Baxter, Mr. Quigg Edmond",24,247.5208,"male","no","Cherbourg",1
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50,247.5208,"female","yes","Cherbourg",1
"Bazzani, Miss. Albina",32,76.2917,"female","yes","Cherbourg",1
"Beattie, Mr. Thomson",36,75.2417,"male","no","Cherbourg",1
"Beckwith, Mr. Richard Leonard",37,52.5542,"male","yes","Southhampton",1
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47,52.5542,"female","yes","Southhampton",1
"Behr, Mr. Karl Howell",26,30,"male","yes","Cherbourg",1
"Bidois, Miss. Rosalie",42,227.525,"female","yes","Cherbourg",1
"Bird, Miss. Ellen",29,221.7792,"female","yes","Southhampton",1
"Birnbaum, Mr. Jakob",25,26,"male","no","Cherbourg",1
"Bishop, Mr. Dickinson H",25,91.0792,"male","yes","Cherbourg",1
"Bishop, Mrs. Dickinson H (Helen Walton)",19,91.0792,"female","yes","Cherbourg",1
"Bissette, Miss. Amelia",35,135.6333,"female","yes","Southhampton",1
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28,26.55,"male","yes","Southhampton",1
"Blackwell, Mr. Stephen Weart",45,35.5,"male","no","Southhampton",1
"Blank, Mr. Henry",40,31,"male","yes","Cherbourg",1
"Bonnell, Miss. Caroline",30,164.8667,"female","yes","Southhampton",1
"Bonnell, Miss. Elizabeth",58,26.55,"female","yes","Southhampton",1
"Borebank, Mr. John James",42,26.55,"male","no","Southhampton",1
"Bowen, Miss. Grace Scott",45,262.375,"female","yes","Cherbourg",1
"Bowerman, Miss. Elsie Edith",22,55,"female","yes","Southhampton",1
"Bradley, Mr. George (""George Arthur Brayton"")",NA,26.55,"male","yes","Southhampton",1
"Brady, Mr. John Bertram",41,30.5,"male","no","Southhampton",1
"Brandeis, Mr. Emil",48,50.4958,"male","no","Cherbourg",1
"Brewe, Dr. Arthur Jackson",NA,39.6,"male","no","Cherbourg",1
"Brown, Mrs. James Joseph (Margaret Tobin)",44,27.7208,"female","yes","Cherbourg",1
"Brown, Mrs. John Murray (Caroline Lane Lamson)",59,51.4792,"female","yes","Southhampton",1
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",60,76.2917,"female","yes","Cherbourg",1
"Burns, Miss. Elizabeth Margaret",41,134.5,"female","yes","Cherbourg",1
"Butt, Major. Archibald Willingham",45,26.55,"male","no","Southhampton",1
"Cairns, Mr. Alexander",NA,31,"male","no","Southhampton",1
"Calderhead, Mr. Edward Pennington",42,26.2875,"male","yes","Southhampton",1
"Candee, Mrs. Edward (Helen Churchill Hungerford)",53,27.4458,"female","yes","Cherbourg",1
"Cardeza, Mr. Thomas Drake Martinez",36,512.3292,"male","yes","Cherbourg",1
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",58,512.3292,"female","yes","Cherbourg",1
"Carlsson, Mr. Frans Olof",33,5,"male","no","Southhampton",1
"Carrau, Mr. Francisco M",28,47.1,"male","no","Southhampton",1
"Carrau, Mr. Jose Pedro",17,47.1,"male","no","Southhampton",1
"Carter, Master. William Thornton II",11,120,"male","yes","Southhampton",1
"Carter, Miss. Lucile Polk",14,120,"female","yes","Southhampton",1
"Carter, Mr. William Ernest",36,120,"male","yes","Southhampton",1
"Carter, Mrs. William Ernest (Lucile Polk)",36,120,"female","yes","Southhampton",1
"Case, Mr. Howard Brown",49,26,"male","no","Southhampton",1
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",NA,27.7208,"female","yes","Cherbourg",1
"Cavendish, Mr. Tyrell William",36,78.85,"male","no","Southhampton",1
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",76,78.85,"female","yes","Southhampton",1
"Chaffee, Mr. Herbert Fuller",46,61.175,"male","no","Southhampton",1
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",47,61.175,"female","yes","Southhampton",1
"Chambers, Mr. Norman Campbell",27,53.1,"male","yes","Southhampton",1
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",33,53.1,"female","yes","Southhampton",1
"Chaudanson, Miss. Victorine",36,262.375,"female","yes","Cherbourg",1
"Cherry, Miss. Gladys",30,86.5,"female","yes","Southhampton",1
"Chevre, Mr. Paul Romaine",45,29.7,"male","yes","Cherbourg",1
